X,Y,fid,codi_centre,tipus_centre,nom_centre,nom_municipi,nom_naturalesa,al_eso_n1,al_eso_n2,al_eso_n3,al_eso_n4,gr_eso_n1,gr_eso_n2,gr_eso_n3,gr_eso_n4,icon_url
0.868147208999045,41.6172740320149,1037,"25007517",Institut,La Serra,Mollerussa,Públic,114,120,115,120,4,4,4,4,./0.png
0.411188854009578,41.4642739757225,1038,"25007529",Institut,Seròs,Seròs,Públic,61,90,66,79,3,4,3,3,./0.png
0.905419994726094,41.7561288344574,1039,"25007700",Institut,Ermengol IV,Bellcaire d'Urgell,Públic,79,70,81,66,3,3,3,3,./0.png
0.96508218609703,42.2502216637552,1040,"25008352",Institut,de La Pobla de Segur,La Pobla de Segur,Públic,38,38,38,37,2,2,2,2,./0.png
1.44859265346937,42.3542379108283,1041,"25009186",Institut,La Valira,La Seu d'Urgell,Públic,54,60,60,61,2,2,2,2,./0.png
0.554202287450957,41.6698250086237,1042,"25009721",Institut,d'Alpicat,Alpicat,Públic,51,59,71,63,2,2,3,3,./0.png
0.611086460979859,41.6681522935335,1043,"25009733",Institut,Joan Solà,Torrefarrera,Públic,114,114,120,116,4,4,4,4,./0.png
0.635977044713825,41.6271981894677,1044,"25009836",Institut,La Mitjana,Lleida,Públic,87,113,91,121,3,4,3,4,./0.png
0.6089422511889,41.6106521702091,1045,"25010127",Institut,Castell dels Templers,Lleida,Públic,14,16,27,10,1,1,1,1,./0.png
0.618632544951982,41.6187750110941,1046,"25010188",,Les Heures,Lleida,Privat,30,30,31,31,1,1,1,1,./0.png
0.627982975353612,41.6386678290451,1047,"25010280",Institut Escola,Torre Queralt,Lleida,Públic,25,27,24,35,1,1,1,2,./0.png
0.901152394100354,41.6246842942741,1048,"25010310",Institut,Salt del Duran,Mollerussa,Públic,83,87,64,79,3,3,2,3,./0.png
0.663887452936226,41.6063821315194,1049,"25010334",Institut Escola,Magraners,Lleida,Públic,15,21,24,17,1,1,1,1,./0.png
1.5908474893702,42.1340631185451,1050,"25010358",Institut Escola,Vall de Lord,Sant Llorenç de Morunys,Públic,6,11,15,13,1,1,1,1,./0.png
1.31522477048777,42.0695736837359,1051,"25010383",Institut Escola,d'Oliana,Oliana,Públic,18,18,12,16,1,1,1,1,./0.png
0.51674026876466,41.5656356084532,1052,"25010450",Institut,Nou Alcarràs,Alcarràs,Públic,59,0,0,0,3,,,,./0.png
0.568913206443813,40.7070981453718,1053,"43000299",,Sagrat Cor,Amposta,Privat,60,60,60,60,2,2,2,2,./0.png
0.581297496700405,40.7099753440791,1054,"43000329",Institut,Ramon Berenguer IV,Amposta,Públic,118,96,126,116,4,3,4,4,./0.png
1.60182820367905,41.2665912945798,1055,"43000391",,L'Arboç,L'Arboç,Privat,30,30,32,29,1,1,1,1,./0.png
1.05176922581665,41.0741013663571,1056,"43000755",,Cardenal Vidal i Barraquer,Cambrils,Privat,87,87,96,92,3,3,3,3,./0.png
1.05897493643187,41.0697390117002,1057,"43000779",Institut,Ramon Berenguer IV,Cambrils,Públic,89,91,93,95,3,3,3,3,./0.png
1.16265152371021,41.3721649220508,1058,"43001577",,Mare de Déu de la Serra,Montblanc,Privat,23,31,30,34,1,1,1,1,./0.png
0.638751794881451,41.092447474014,1059,"43001701",,Santa Teresa,Móra d'Ebre,Privat,28,28,21,23,1,1,1,1,./0.png
1.11732002739893,41.1540174953452,1060,"43002314",,Arce,Reus,Privat,32,29,31,30,1,1,1,1,./0.png
1.10821586892207,41.1571942467105,1061,"43002338",,La Presentació,Reus,Privat,62,62,63,64,2,2,2,2,./0.png
1.10009971999521,41.1507622495116,1062,"43002351",,Maria Rosa Molas,Reus,Privat,59,60,68,61,2,2,2,2,./0.png
1.10556765538412,41.1597670373808,1063,"43002375",,Maria Cortina,Reus,Privat,30,29,31,32,1,1,1,1,./0.png
1.10603967800937,41.1499796763787,1064,"43002417",,La Salle,Reus,Privat,90,91,97,90,3,3,3,3,./0.png
1.10097103439702,41.1473803550305,1065,"43002429",,Pare Manyanet,Reus,Privat,92,93,100,91,3,3,3,3,./0.png
1.10970976818898,41.1531193850042,1066,"43002442",,Sant Josep,Reus,Privat,90,94,95,97,3,3,3,3,./0.png
1.11202307025428,41.1431190893602,1067,"43002511",,Puigcerver,Reus,Privat,61,60,62,62,2,2,2,2,./0.png
